#name	name2
XM_017589221.1	Tacc2
NM_001004418.2	Tacc2
NM_001004415.2	Tacc2
XM_008759883.2	Tacc2
XM_017589223.1	Tacc2
XM_017589222.1	Tacc2
XM_006230398.3	Tacc2
NM_001106367.3	Sorcs3
XM_017590500.1	Syne1
XM_006227853.3	Syne1
NM_001077677.1	Pacrg
XM_017589986.1	LOC108348107
XM_017589985.1	LOC108348107
XM_008759023.2	LOC108348107
NM_001100690.1	Myh14
XM_006229056.3	Myh14
XM_006229057.3	Myh14
XM_008759569.2	Fam189a1
NM_001108489.1	Iqgap1
XM_017590223.1	Rbbp6
XM_017590222.1	Rbbp6
XM_006230198.3	Rbbp6
XM_219296.7	Rbbp6
XM_002728861.4	LOC100362342
XM_006231067.3	Syt7
XM_006231068.3	Syt7
XM_006231065.3	Syt7
NM_021659.1	Syt7
XM_017589635.1	Syt7
XM_017589634.1	Syt7
XM_017589636.1	Syt7
XM_017589637.1	Syt7
XM_017589638.1	Syt7
XM_006231066.3	Syt7
XM_006231215.3	Kank1
XM_006231214.3	Kank1
XM_017590372.1	Cc2d2b
XM_017590370.1	Cc2d2b
XM_017590374.1	Cc2d2b
XM_017590373.1	Cc2d2b
XM_017590371.1	Cc2d2b
XM_017590368.1	Cc2d2b
XM_017590375.1	Cc2d2b
XM_017590376.1	Cc2d2b
XM_006227639.2	Shprh
NM_001107470.1	Shprh
XM_017589823.1	Nhsl1
XM_017589824.1	Nhsl1
XM_002728626.5	Nhsl1
XM_006227668.3	Nhsl1
XM_006227671.3	Nhsl1
XM_006227670.3	Nhsl1
NM_001198638.1	Map7
NM_001106270.2	Map7
XR_349858.2	LOC102551251
XM_017589322.1	Ptprk
XM_008758616.1	Ptprk
XM_008758618.2	Ptprk
XM_017589323.1	Ptprk
XM_017589325.1	Ptprk
XM_017589317.1	Ptprk
XM_017589320.1	Ptprk
XM_017589318.1	Ptprk
XM_017589329.1	Ptprk
XM_017589321.1	Ptprk
XM_017589319.1	Ptprk
XM_017589328.1	Ptprk
XM_017589314.1	Ptprk
XM_017589316.1	Ptprk
XM_017589315.1	Ptprk
NM_001029902.2	Ptprk
XM_017589327.1	Ptprk
XM_017589326.1	Ptprk
XM_017590489.1	Lama2
XM_017590488.1	Lama2
XM_017589841.1	Epb41l2
XM_017589846.1	Epb41l2
XM_017589844.1	Epb41l2
XM_017589858.1	Epb41l2
XM_017589860.1	Epb41l2
XM_017589861.1	Epb41l2
XM_017589863.1	Epb41l2
XM_017589864.1	Epb41l2
XM_017589856.1	Epb41l2
XM_017589853.1	Epb41l2
XM_017589854.1	Epb41l2
XM_017589843.1	Epb41l2
XM_017589840.1	Epb41l2
XM_017589852.1	Epb41l2
XM_017589855.1	Epb41l2
XM_017589857.1	Epb41l2
XM_017589850.1	Epb41l2
XM_017589849.1	Epb41l2
XM_017589851.1	Epb41l2
XM_017589847.1	Epb41l2
XM_017589862.1	Epb41l2
XM_017589842.1	Epb41l2
NM_001106204.1	Rnf217
XM_008758675.2	Ncoa7
XM_006227758.3	Ncoa7
XM_017589870.1	Ncoa7
XM_006227813.3	Mtrr
NM_001039003.1	Mtrr
XM_006227814.2	Mtrr
NM_133425.3	Ppp1r14c
NM_057103.2	Akap12
NM_001033653.1	Akap12
XM_006227847.3	Akap12
XM_006227848.3	Akap12
XM_006227858.3	Scaf8
NM_139094.1	Scaf8
XM_017590420.1	Arid1b
NM_001130939.1	Tmem181
NM_012756.2	Igf2r
NM_020093.1	Park2
NM_022236.1	Pde10a
XM_017588698.1	Rps6ka2
XM_017588697.1	Rps6ka2
XM_017588699.1	Rps6ka2
XM_006227917.3	Rps6ka2
NM_057128.1	Rps6ka2
NM_001099483.1	Vom2r36
XM_017589107.1	Zim1
XM_017589105.1	Zim1
NM_001107473.1	Zim1
XM_017589106.1	Zim1
XR_590074.2	LOC102548473
XM_008759008.2	LOC103691035
NM_012695.3	Sult2a6
XM_017588672.1	Ceacam9
NM_001109422.1	Bcl3
XM_006228473.3	Bcl3
NM_021694.3	Arhgef1
XM_008758913.2	RGD1564380
XM_008758914.2	RGD1564380
XM_008758911.2	RGD1564380
XM_008758912.2	RGD1564380
XM_008758915.2	RGD1564380
NM_130824.2	Rasgrp4
NM_001009641.1	Pepd
XM_017589128.1	Uri1
NM_001107507.1	Uri1
XR_001835736.1	LOC102548014
XR_001835735.1	LOC102548014
NM_001106249.2	Siglec5
XM_006228946.3	Siglec5
XM_008759327.2	Siglec5
XM_008759328.2	Siglec5
XM_008759329.2	Siglec5
XM_218559.9	Fam83e
XM_017588749.1	Nav2
XM_017588743.1	Nav2
XM_017588742.1	Nav2
XM_017588741.1	Nav2
XM_017588740.1	Nav2
XM_017588745.1	Nav2
XM_017588744.1	Nav2
NM_138529.1	Nav2
XM_006229244.3	Nav2
XM_017588747.1	Nav2
XM_017588746.1	Nav2
XM_017588748.1	Nav2
XM_008759315.2	Nav2
XM_017589771.1	Nell1
NM_031069.1	Nell1
XM_017590139.1	Ano5
XM_017590140.1	Ano5
XM_006229268.3	Ano5
XM_006229266.3	Ano5
XM_017589765.1	Gabrg3
NM_024370.3	Gabrg3
NM_017065.1	Gabrb3
XM_006229288.2	Cyfip1
NM_001107517.1	Cyfip1
XR_001836306.1	LOC102554833
XR_001836303.1	LOC102554833
XR_001836305.1	LOC102554833
XR_001836302.1	LOC102554833
XR_001836304.1	LOC102554833
XR_350390.3	LOC102554833
XR_001836308.1	LOC102554833
XR_001836309.1	LOC102554833
XR_001836312.1	LOC102554833
XR_001836311.1	LOC102554833
XR_001836307.1	LOC102554833
XR_590250.2	LOC102554833
XR_001836310.1	LOC102554833
NM_001109147.1	Klf13
NM_012999.1	Pcsk6
XM_218753.9	Adamts17
XM_006229360.3	Adamts17
NM_052807.2	Igf1r
XM_006229324.2	Igf1r
XM_008759500.1	Igf1r
XR_001835853.1	LOC108349473
XR_001835852.1	LOC108349473
XR_001835854.1	LOC108349473
XR_001835874.1	LOC102549240
XR_350500.3	LOC102549240
XM_008759580.2	Agbl1
NM_001107534.1	Efl1
XM_008759610.2	Tmc3
NM_001170432.1	Tmc3
XM_006229504.2	Zfand6
XM_006229502.3	Zfand6
XM_006229500.3	Zfand6
XM_006229508.3	Zfand6
XM_006229506.3	Zfand6
XM_006229499.2	Zfand6
XM_017588943.1	Zfand6
XM_006229507.2	Zfand6
XM_006229505.2	Zfand6
NM_001007630.1	Zfand6
NM_017158.2	Cyp2c7
XM_017588944.1	Tmem135
NM_001013896.1	Tmem135
XM_017589650.1	Dlg2
XM_017589651.1	Dlg2
XM_008759648.2	Dlg2
NM_022282.1	Dlg2
XM_017589652.1	Dlg2
XM_017589654.1	Dlg2
XR_001836346.1	LOC108349816
XM_017590522.1	LOC108349816
XM_017590523.1	LOC108349816
XM_017589177.1	Tenm4
XM_017589181.1	Tenm4
XM_017589179.1	Tenm4
XM_017589178.1	Tenm4
XM_017589180.1	Tenm4
NM_001191628.1	Tenm4
XM_017589176.1	Tenm4
XM_017589183.1	Tenm4
XM_017589175.1	Tenm4
XM_017589174.1	Tenm4
XM_017589173.1	Tenm4
XM_017589172.1	Tenm4
NM_001108493.1	Aamdc
XM_017589374.1	Aamdc
XM_006229768.2	Aamdc
XM_006229811.3	Emsy
XM_006229813.3	Emsy
XM_006229802.3	Emsy
XM_006229804.3	Emsy
XM_006229809.3	Emsy
XM_006229810.3	Emsy
XM_006229808.3	Emsy
XM_006229805.3	Emsy
XM_006229807.3	Emsy
XM_017590189.1	Emsy
XM_006229812.3	Emsy
XR_001835910.1	LOC108349134
XR_001835909.1	LOC108349134
XM_006229723.3	Slco2b1
XM_006229724.3	Slco2b1
XM_006229727.3	Slco2b1
XM_006229725.3	Slco2b1
XM_006229728.3	Slco2b1
XM_006229722.3	Slco2b1
XM_008759668.2	Slco2b1
XM_006229721.3	Slco2b1
NM_080786.1	Slco2b1
XM_006229791.3	Plekhb1
XM_008759795.2	Plekhb1
XM_006229788.3	Plekhb1
XM_006229789.3	Plekhb1
XM_006229787.3	Plekhb1
NM_172033.2	Plekhb1
XM_008759733.2	Ppfibp2
XM_008759734.2	Ppfibp2
XR_001835421.1	Ppfibp2
XM_017589199.1	Ppfibp2
XM_017589200.1	Ppfibp2
XM_017589201.1	Ppfibp2
XM_017589202.1	Ppfibp2
XM_008759735.2	Ppfibp2
XM_006229953.3	Ppfibp2
XM_006229955.3	Ppfibp2
XM_008759736.2	Ppfibp2
XM_003748966.4	LOC100912217
XM_017589379.1	Trim66
XM_017589380.1	Trim66
XM_017589381.1	Trim66
XM_017589384.1	Trim66
XM_017589383.1	Trim66
XM_017589382.1	Trim66
XM_017589387.1	Trim66
XM_006229983.3	Trim66
XM_017589386.1	Trim66
XM_017589378.1	Trim66
XM_008759803.2	Sbf2
XM_008759797.2	Sbf2
XM_008759799.2	Sbf2
XM_008759800.2	Sbf2
XM_008759804.2	Sbf2
XM_008759798.2	Sbf2
XM_008759801.2	Sbf2
NM_001134970.1	Sbf2
XM_017588974.1	Micalcl
XM_017588973.1	Micalcl
XM_017588976.1	Micalcl
XM_017588975.1	Micalcl
NM_182669.2	Micalcl
NM_001009688.1	Thumpd1
XM_017590524.1	Dnah3
NM_001033889.1	Cog7
XM_017590466.1	Hs3st4
XR_001835978.1	LOC102547183
XM_017589397.1	LOC361646
XM_006230294.3	LOC361646
XM_006230296.3	LOC361646
XM_008759893.2	LOC361646
NM_001134574.1	LOC361646
XM_008759925.2	LOC102551806
XR_001836011.1	Setd1b
XR_001836009.1	Setd1b
XR_590495.2	Setd1b
XR_001836008.1	Setd1b
XR_001836010.1	Setd1b
XR_590514.2	LOC103691247
XM_003749001.4	LOC100909609
XM_006230486.2	Inpp5a
NM_001108923.2	Inpp5a
XM_017589001.1	Olr292
XM_017590250.1	Ano9
XM_006230590.2	Ano9
XM_017590248.1	Ano9
XM_006230589.2	Ano9
XM_017590249.1	Ano9
NM_001109159.1	Mob2
XM_008760185.2	LOC102552318
XM_008760184.2	LOC102552318
XM_008760132.2	Aldh3b1
NM_001006998.1	Aldh3b1
XM_006230787.3	Aldh3b1
XM_008760134.1	Aldh3b1
XM_017589248.1	Peli3
NM_001127542.1	Peli3
XM_006230805.3	Tigd3
XM_017589251.1	Tigd3
XM_017589250.1	Tigd3
NM_001107573.1	Tigd3
NM_173302.1	Slc22a24
NM_001169120.1	Zfp91
XM_006231127.3	Zfp91
NM_001001277.1	Olr380
NM_001191562.1	Trpm3
XM_017590483.1	Mamdc2
XM_017589273.1	Pip5k1b
NM_001012743.1	Pip5k1b
XR_001836124.1	LOC103691325
XR_001836122.1	LOC103691325
XR_001836121.1	LOC103691325
XR_001836123.1	LOC103691325
XR_001836125.1	LOC103691325
XM_008760357.2	Glis3
NM_001105731.3	Prkg1
NM_053646.2	Asah2
XM_006231268.3	Asah2
XM_017588651.1	Asah2
XM_017588647.1	Asah2
XM_017588648.1	Asah2
XM_017588650.1	Asah2
XM_017588649.1	Asah2
XM_017588646.1	Asah2
XM_008760320.2	Asah2
XM_006231270.1	Asah2
XM_006231263.1	Asah2
XM_008760367.2	March5
NM_001106372.2	March5
NM_001014246.1	Fra10ac1
XM_008760371.2	Fra10ac1
XM_008760372.2	Fra10ac1
XM_017589503.1	Fra10ac1
NM_019184.2	Cyp2c11
XM_017589048.1	Hells
NM_001106371.1	Hells
XM_008760445.2	Hpse2
NM_001135762.1	Hpse2
XM_008760426.2	Cnnm1
XM_006231483.3	Cnnm1
NM_001107593.1	Cnnm1
NM_001013072.1	Sfxn2
XM_006231558.3	Slk
NM_019349.2	Slk
XM_008760447.2	Slk
XR_590718.2	LOC102554335
NM_001013155.1	Shoc2
XR_001836171.1	LOC102553657
XR_351159.3	LOC102553657
XM_017590401.1	Ablim1
XM_017590400.1	Ablim1
XM_008760587.2	Atrnl1
XM_017589082.1	Hspa12a
XM_017589080.1	Hspa12a
XM_017589081.1	Hspa12a
NM_001107445.1	Hspa12a
XM_017589810.1	LOC102556098
XM_008758586.2	LOC103690913
XM_006227611.3	Rrlt
NM_001106217.1	Lrp11
NM_001004217.4	Katna1
XM_006227616.3	Zc3h12d
NM_001107469.1	Zc3h12d
XM_017589330.1	Ust
NM_001108458.1	Ust
XM_003748645.4	Sash1
XM_006227623.3	Stxbp5
XM_006227624.3	Stxbp5
XM_008758628.2	Stxbp5
XM_008758629.2	Stxbp5
NM_030843.2	Stxbp5
NM_178345.1	Stxbp5
NM_178346.1	Stxbp5
XM_017590413.1	Adgb
XM_017588777.1	Grm1
NM_001114330.1	Grm1
NM_017011.1	Grm1
XM_006227640.3	Fbxo30
NM_001007690.1	Fbxo30
NM_001276762.1	Epm2a
XM_008758599.2	Utrn
XM_008758598.2	Utrn
XM_017588826.1	Utrn
XM_006227637.3	Utrn
XM_008758595.2	Utrn
XM_008758596.2	Utrn
XM_008758593.1	Utrn
XM_008758594.2	Utrn
NM_013070.1	Utrn
XR_001835509.1	LOC108349485
XM_017589099.1	Phactr2
XM_017589101.1	Phactr2
XM_017589100.1	Phactr2
XM_017589102.1	Phactr2
XM_017589103.1	Phactr2
XM_017589097.1	Phactr2
XM_017589098.1	Phactr2
NM_214458.1	Phactr2
NM_001115028.1	Adat2
NM_001134425.1	Aig1
XM_006227642.3	Aig1
XM_008758604.2	Aig1
NM_024137.1	Hivep2
XM_218313.9	Adgrg6
XM_006227647.3	Adgrg6
XM_017589821.1	Adgrg6
XM_017589822.1	Adgrg6
XR_589844.1	LOC103690920
XR_001835515.1	LOC108349488
XR_001835518.1	LOC103690921
XR_001835517.1	LOC103690921
XR_349817.3	LOC102552144
XR_349822.3	LOC102552459
